round,client,n_samples,train_loss,train_acc,val_loss,val_acc
4,8,5851,0.0,1.0,0.0,1.0
4,9,5949,0.0,1.0,3.4117126213563534e-09,1.0
5,0,5923,0.0,1.0,8.054679806018367e-10,1.0
5,1,6742,0.0,1.0,0.0,1.0
5,2,5958,0.0,1.0,4.0070344652076144e-10,1.0
5,3,6131,0.0,1.0,3.889372768023704e-10,1.0
5,4,5842,0.0,1.0,7.144379797048477e-09,1.0
5,5,5421,0.0,1.0,8.797731448639987e-10,1.0
5,6,5918,0.0,1.0,0.0,1.0
5,7,6265,0.0,1.0,2.094731425590719e-09,1.0
5,8,5851,0.0,1.0,0.0,1.0
5,9,5949,0.0,1.0,4.214468110075533e-09,1.0
1,0,5923,0.06085903829345615,0.988182329769274,0.0,1.0
1,1,6742,0.08245687201496767,0.989452867501648,0.0,1.0
1,2,5958,0.08959014585024878,0.9878799179563678,0.0,1.0
1,3,6131,0.07730402347863616,0.9884015947807177,0.0,1.0
1,4,5842,0.08045472742460227,0.9878280715100799,0.0,1.0
1,5,5421,0.07185298971329873,0.9965156794425087,0.0,1.0
1,6,5918,0.06824910211887363,0.9894875164257556,0.0,1.0
1,7,6265,0.06456351249944983,0.988650469941479,0.0,1.0
1,8,5851,0.06591181188567631,0.9886061526775541,0.0,1.0
1,9,5949,0.08062261377868228,0.9880485527544351,0.0,1.0
